#{"t_start": 1650530982.0377748, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
984.59,63.27,1000,1.18,1
807.3,807.3,1000,1.18,0
923.97,285.12,1000,1.18,1
898.7,355.62,1000,1.18,1
915.85,61.34,1000,1.17,1
995.95,114.96,1000,1.17,1
1017.17,87.64,1000,1.18,1
962.92,65.85,1000,1.17,1
998.03,77.02,1000,1.17,1
909.95,181.87,1000,1.17,1
1174.5,379.51,1000,1.18,1
1200.42,276.21,1000,1.18,1
1122.41,150.15,1000,1.18,1
1200.93,149.86,1000,1.18,1
1217.45,227.96,1000,1.18,1
1088.85,166.4,1000,1.19,1
1123.72,1123.72,1000,1.19,0
1185.45,1185.45,1000,1.18,0
1194.8,1006.09,1000,1.18,1
1094.26,1094.26,1000,1.18,0
1242.68,197.12,1000,1.18,1
1259.22,123.92,1000,1.18,1
1285.67,1041.63,1000,1.18,1
1234.08,455.82,1000,1.18,1
1158.47,1158.47,1000,1.18,0
1297.88,161.72,1000,1.18,1
1171.68,137.01,1000,1.18,1
1276.29,314.84,1000,1.18,1
1221.58,323.97,1000,1.18,1
1303.29,66.75,1000,1.18,1
1256.55,1256.55,1000,1.18,0
1406.61,1406.61,1000,1.18,0
1597.26,1597.26,1000,1.18,0
1235.43,1235.43,1000,1.18,0
1479.95,1479.95,1000,1.18,0
1355.77,1355.77,1000,1.18,0
1511.45,1511.45,1000,1.18,0
1432.24,1432.24,1000,1.18,0
1183.57,1183.57,1000,1.17,0
1296.2,1296.2,1000,1.18,0
1471.39,1471.39,1000,1.18,0
1556.02,1556.02,1000,1.18,0
1627.87,1627.87,1000,1.18,0
1578.13,1578.13,1000,1.18,0
1416.55,1416.55,1000,1.18,0
1231.8,1231.8,1000,1.17,0
1312.7,1312.7,1000,1.17,0
1803.98,1803.98,1000,1.17,0
1552.08,1552.08,1000,1.18,0
1627.79,1627.79,1000,1.18,0
1728.22,1728.22,1000,1.18,0
1803.82,1803.82,1000,1.18,0
1509.31,1509.31,1000,1.18,0
1396.98,1396.98,1000,1.18,0
2017.12,2017.12,1000,1.18,0
1909.67,1909.67,1000,1.18,0
1267.82,1267.82,1000,1.18,0
1478.79,1478.79,1000,1.19,0
1679.45,1679.45,1000,1.18,0
2003.01,2003.01,1000,1.18,0
1355.54,1355.54,1000,1.18,0
1249.75,1249.75,1000,1.18,0
1009.98,801.03,1000,1.18,1
1471.01,1471.01,1000,1.18,0
1316.82,1316.82,1000,1.18,0
2148.32,2148.32,1000,1.18,0
1408.19,1408.19,1000,1.18,0
1879.72,1879.72,1000,1.18,0
1918.93,1918.93,1000,1.18,0
1723.36,1723.36,1000,1.18,0
2259.06,2259.06,1000,1.19,0
2476.52,2476.52,1000,1.18,0
1838.51,1838.51,1000,1.18,0
998.21,921.05,1000,1.18,1
2089.79,2089.79,1000,1.18,0
2385.67,2385.67,1000,1.18,0
2394.52,2394.52,1000,1.18,0
1378.75,1378.75,1000,1.18,0
