#{"t_start": 1650542713.1414032, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
269.25,269.25,1000,3.32,0
199.11,199.11,1000,3.26,0
292.02,57.04,1000,14.42,1
257.15,257.15,1000,3.27,0
267.56,267.56,1000,14.38,0
335.71,335.71,1000,3.24,0
363.04,113.96,1000,15.27,1
385.47,47.22,1000,3.26,1
348.66,348.66,1000,15.39,0
423.95,57.91,1000,3.25,1
403.55,403.55,1000,15.28,0
393.31,393.31,1000,3.25,0
410.03,260.65,1000,14.35,1
452.64,106.63,1000,3.24,1
511.03,270.23,1000,14.94,1
474.69,474.69,1000,3.24,0
490.24,341.81,1000,15.48,1
516.91,90.67,1000,3.22,1
569.53,227.57,1000,14.91,1
618.27,76.87,1000,3.2,1
648.56,181.4,1000,14.32,1
678.55,368.56,1000,3.2,1
561.62,278.47,1000,14.21,1
622.53,622.53,1000,3.2,0
657.22,544.68,1000,15.05,1
681.61,309.86,1000,3.2,1
719.71,131.73,1000,14.27,1
693.24,201.98,1000,3.2,1
679.42,105.52,1000,14.22,1
764.2,202.47,1000,3.2,1
901.43,65.35,1000,14.32,1
903.19,53.52,1000,3.21,1
890.0,142.1,1000,14.62,1
888.47,76.01,1000,3.24,1
853.82,617.26,1000,14.86,1
833.11,66.65,1000,3.2,1
866.71,185.2,1000,13.71,1
899.41,709.69,1000,3.19,1
859.2,639.86,1000,9.82,1
951.66,147.91,1000,3.21,1
1001.14,0,1000,3.23,1
961.81,53.3,1000,3.21,1
1070.67,65.03,1000,9.28,1
1042.19,64.59,1000,3.24,1
977.32,377.92,1000,10.24,1
1122.88,69.22,1000,3.29,1
980.48,205.93,1000,9.07,1
1054.87,131.41,1000,3.25,1
1085.86,70.61,1000,9.27,1
1099.61,75.55,1000,3.25,1
1120.67,73.27,1000,11.41,1
1058.19,217.09,1000,3.25,1
1132.27,59.21,1000,8.13,1
1230.51,220.69,1000,3.22,1
1095.48,388.32,1000,7.67,1
1089.55,194.1,1000,3.22,1
1086.46,172.52,1000,6.72,1
988.69,89.79,1000,3.21,1
1315.82,57.3,1000,8.2,1
1183.11,113.02,1000,3.23,1
1073.3,289.56,1000,9.04,1
1225.59,56.39,1000,3.22,1
1062.98,601.67,1000,9.28,1
1156.64,216.84,1000,3.21,1
1165.04,61.85,1000,8.01,1
1351.46,92.84,1000,3.2,1
1319.93,132.39,1000,5.46,1
1272.41,63.61,1000,3.21,1
1145.57,248.65,1000,6.84,1
1195.89,175.03,1000,3.21,1
1439.7,56.17,1000,6.85,1
1216.92,168.68,1000,3.23,1
1305.89,152.67,1000,7.63,1
1470.87,75.53,1000,3.21,1
1303.35,260.24,1000,9.03,1
1330.37,98.65,1000,3.23,1
1244.22,98.8,1000,5.46,1
1502.93,56.64,1000,3.2,1
1171.78,211.68,1000,6.73,1
1302.96,75.66,1000,3.22,1
1346.4,0,1000,3.24,1
1458.71,65.89,1000,3.23,1
1664.7,119.16,1000,7.7,1
1380.61,73.07,1000,3.22,1
1111.61,79.74,1000,5.55,1
1447.4,68.2,1000,3.23,1
1312.22,148.77,1000,5.64,1
1487.19,56.06,1000,3.24,1
1323.7,63.32,1000,6.62,1
1505.35,53.88,1000,3.23,1
1620.94,71.24,1000,6.64,1
1642.44,55.55,1000,3.21,1
1713.69,70.63,1000,6.97,1
1427.83,110.31,1000,3.21,1
1248.06,60.65,1000,5.59,1
1787.27,75.74,1000,3.22,1
1370.36,87.68,1000,5.66,1
1885.17,59.69,1000,3.22,1
1698.92,65.59,1000,5.52,1
1857.68,130.93,1000,3.23,1
1203.08,103.43,1000,5.63,1
1669.98,83.61,1000,3.23,1
1695.54,112.68,1000,5.52,1
1301.32,94.88,1000,3.22,1
1326.54,71.09,1000,5.51,1
1749.08,120.0,1000,3.27,1
1993.96,75.25,1000,5.66,1
1130.9,83.56,1000,3.25,1
1691.86,76.12,1000,5.48,1
1760.21,121.8,1000,3.24,1
2235.34,96.46,1000,6.92,1
2120.67,67.14,1000,3.25,1
1737.2,81.6,1000,7.09,1
1937.04,60.19,1000,3.29,1
1503.61,88.54,1000,6.69,1
2288.58,57.46,1000,3.25,1
2397.17,62.86,1000,5.73,1
1589.59,55.0,1000,3.28,1
2397.03,67.73,1000,5.48,1
1634.58,66.7,1000,3.22,1
1921.33,0,1000,3.24,1
1572.35,62.79,1000,3.24,1
2176.31,73.61,1000,4.58,1
2088.57,63.25,1000,3.26,1
2263.1,55.63,1000,7.88,1
1879.62,78.8,1000,3.28,1
2166.29,53.94,1000,5.6,1
1423.73,62.56,1000,3.3,1
2252.31,72.21,1000,5.64,1
2322.04,53.89,1000,3.24,1
2094.24,58.87,1000,4.4,1
2339.94,55.69,1000,3.26,1
1662.23,149.06,1000,5.56,1
