#{"t_start": 1650559549.9384525, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
241.16,241.16,1000,2.82,0
361.36,285.59,1000,2.64,1
272.18,272.18,1000,12.07,0
273.44,273.44,1000,2.63,0
339.85,193.77,1000,12.92,1
326.64,274.83,1000,2.72,1
363.01,50.71,1000,13.47,1
320.77,103.44,1000,2.76,1
213.87,213.87,1000,11.38,0
317.52,94.15,1000,2.64,1
230.58,115.72,1000,11.93,1
230.85,218.18,1000,2.64,1
322.91,47.99,1000,12.05,1
241.2,241.2,1000,2.65,0
293.82,43.2,1000,12.15,1
352.26,248.14,1000,2.68,1
282.57,282.57,1000,12.77,0
330.03,61.16,1000,2.7,1
338.71,41.42,1000,13.72,1
275.17,44.52,1000,2.72,1
389.17,54.95,1000,13.05,1
289.66,41.85,1000,2.61,1
347.15,47.51,1000,13.25,1
310.07,51.08,1000,3.42,1
416.88,66.9,1000,14.29,1
290.3,193.29,1000,3.44,1
328.07,328.07,1000,14.53,0
228.13,228.13,1000,3.41,0
387.51,49.47,1000,16.33,1
243.32,243.32,1000,3.45,0
284.58,284.58,1000,14.56,0
277.18,277.18,1000,2.99,0
287.19,287.19,1000,13.72,0
288.5,288.5,1000,2.97,0
316.56,316.56,1000,12.89,0
290.71,197.85,1000,2.78,1
250.03,250.03,1000,13.49,0
312.11,187.15,1000,2.91,1
331.46,331.46,1000,16.22,0
312.79,312.79,1000,2.8,0
247.12,247.12,1000,12.47,0
208.42,208.42,1000,2.92,0
281.48,73.4,1000,2.74,1
269.49,269.49,1000,13.83,0
276.09,276.09,1000,2.8,0
259.06,259.06,1000,15.88,0
287.51,287.51,1000,2.73,0
331.84,331.84,1000,12.46,0
306.44,306.44,1000,2.73,0
228.24,228.24,1000,12.57,0
208.89,208.89,1000,2.72,0
262.43,262.43,1000,13.73,0
311.09,311.09,1000,2.72,0
301.1,301.1,1000,15.81,0
354.11,172.04,1000,2.73,1
322.41,46.68,1000,12.23,1
297.75,297.75,1000,2.77,0
213.84,213.84,1000,11.32,0
279.84,279.84,1000,2.81,0
294.48,294.48,1000,13.78,0
280.4,280.4,1000,2.71,0
304.62,304.62,1000,12.3,0
280.08,280.08,1000,2.73,0
258.64,258.64,1000,8.67,0
347.65,347.65,1000,2.64,0
340.21,340.21,1000,11.14,0
306.27,306.27,1000,2.91,0
318.87,318.87,1000,14.44,0
328.15,328.15,1000,3.33,0
352.29,352.29,1000,9.19,0
258.99,258.99,1000,3.37,0
217.68,217.68,1000,13.49,0
239.12,239.12,1000,3.43,0
319.12,319.12,1000,13.75,0
437.02,437.02,1000,3.39,0
328.78,328.78,1000,6.19,0
304.06,304.06,1000,2.85,0
272.41,272.41,1000,8.42,0
265.7,265.7,1000,3.07,0
349.52,349.52,1000,13.96,0
519.86,519.86,1000,3.14,0
472.86,472.86,1000,4.93,0
463.77,463.77,1000,2.65,0
440.43,440.43,1000,7.41,0
442.81,442.81,1000,2.84,0
446.15,446.15,1000,2.81,0
448.78,448.78,1000,5.72,0
499.69,499.69,1000,2.71,0
478.08,478.08,1000,13.86,0
381.62,381.62,1000,2.8,0
460.96,460.96,1000,7.71,0
498.41,498.41,1000,2.72,0
241.33,87.27,1000,6.08,1
226.12,190.36,1000,2.71,1
238.8,238.8,1000,9.43,0
461.59,461.59,1000,2.73,0
595.05,595.05,1000,7.33,0
546.57,546.57,1000,2.68,0
401.15,401.15,1000,5.16,0
401.43,401.43,1000,2.71,0
594.49,594.49,1000,8.58,0
406.08,406.08,1000,2.81,0
324.7,324.7,1000,13.91,0
569.55,569.55,1000,2.65,0
641.88,641.88,1000,6.66,0
471.88,471.88,1000,2.67,0
622.33,622.33,1000,8.36,0
629.84,629.84,1000,2.97,0
280.95,280.95,1000,6.8,0
651.44,651.44,1000,2.82,0
407.79,407.79,1000,7.99,0
624.25,624.25,1000,2.67,0
336.28,336.28,1000,4.64,0
590.24,590.24,1000,2.69,0
602.68,602.68,1000,4.98,0
633.54,633.54,1000,2.77,0
467.37,467.37,1000,4.74,0
466.15,466.15,1000,2.9,0
590.64,590.64,1000,5.08,0
646.72,646.72,1000,2.73,0
384.0,384.0,1000,8.28,0
614.72,614.72,1000,2.78,0
635.93,635.93,1000,7.67,0
363.37,363.37,1000,2.79,0
495.82,495.82,1000,5.17,0
665.69,665.69,1000,3.0,0
189.5,189.5,1000,6.65,0
665.82,665.82,1000,2.71,0
614.09,614.09,1000,2.73,0
205.23,205.23,1000,5.95,0
311.18,311.18,1000,2.65,0
691.58,691.58,1000,5.82,0
688.1,688.1,1000,3.46,0
608.38,608.38,1000,6.47,0
556.12,556.12,1000,3.37,0
688.32,688.32,1000,6.69,0
679.03,679.03,1000,3.36,0
683.45,683.45,1000,6.13,0
630.18,630.18,1000,3.42,0
615.43,615.43,1000,6.12,0
712.89,712.89,1000,3.29,0
457.98,457.98,1000,6.04,0
666.9,666.9,1000,3.38,0
702.24,702.24,1000,5.74,0
691.8,691.8,1000,3.47,0
455.89,455.89,1000,6.45,0
711.34,711.34,1000,2.73,0
620.32,620.32,1000,6.7,0
688.65,688.65,1000,2.99,0
790.32,790.32,1000,6.3,0
275.29,275.29,1000,3.1,0
791.41,791.41,1000,5.48,0
731.42,731.42,1000,2.74,0
720.66,720.66,1000,5.83,0
728.91,728.91,1000,2.85,0
715.57,715.57,1000,3.96,0
771.28,771.28,1000,2.81,0
713.86,713.86,1000,4.93,0
439.21,439.21,1000,2.64,0
734.74,734.74,1000,4.67,0
744.76,744.76,1000,3.27,0
797.61,797.61,1000,5.89,0
757.05,757.05,1000,2.67,0
619.14,619.14,1000,4.74,0
823.65,823.65,1000,2.67,0
845.52,845.52,1000,3.87,0
836.19,836.19,1000,2.65,0
915.25,915.25,1000,7.98,0
892.58,892.58,1000,2.72,0
888.44,888.44,1000,4.8,0
918.58,918.58,1000,2.68,0
953.45,953.45,1000,2.68,0
865.9,865.9,1000,5.83,0
880.24,880.24,1000,2.65,0
902.91,902.91,1000,4.84,0
918.62,918.62,1000,2.68,0
874.25,874.25,1000,7.79,0
956.97,956.97,1000,2.7,0
929.8,929.8,1000,3.96,0
1025.45,1025.45,1000,2.68,0
504.36,504.36,1000,3.99,0
646.8,646.8,1000,2.67,0
981.66,981.66,1000,4.8,0
992.96,992.96,1000,2.55,0
1053.53,1053.53,1000,5.01,0
209.44,93.54,1000,2.72,1
1034.0,1034.0,1000,5.08,0
1149.74,1149.74,1000,2.72,0
853.17,853.17,1000,4.84,0
1102.51,1102.51,1000,2.79,0
1059.1,1059.1,1000,5.88,0
1156.88,1156.88,1000,2.84,0
1135.31,1135.31,1000,4.99,0
1206.42,1206.42,1000,2.73,0
1150.71,1150.71,1000,4.69,0
1147.79,1147.79,1000,2.72,0
1169.01,1169.01,1000,6.09,0
1152.39,1152.39,1000,2.73,0
1175.4,1175.4,1000,4.95,0
670.99,670.99,1000,2.7,0
1292.38,1292.38,1000,9.89,0
1191.07,1191.07,1000,2.71,0
1246.96,1246.96,1000,7.0,0
1222.77,1222.77,1000,2.82,0
1214.19,1214.19,1000,5.68,0
1392.1,1392.1,1000,2.76,0
1234.76,1234.76,1000,6.21,0
1341.4,1341.4,1000,2.68,0
1296.07,1296.07,1000,5.73,0
1344.56,1344.56,1000,2.68,0
1358.79,1358.79,1000,4.8,0
1206.78,1206.78,1000,2.94,0
1229.59,1229.59,1000,8.33,0
1295.19,1295.19,1000,2.78,0
1365.77,1365.77,1000,2.63,0
611.78,611.78,1000,3.81,0
1273.48,1273.48,1000,2.62,0
1410.74,1410.74,1000,3.72,0
1400.03,1400.03,1000,2.81,0
725.58,725.58,1000,6.51,0
1462.0,1462.0,1000,3.22,0
1501.2,1501.2,1000,5.7,0
1568.43,1568.43,1000,3.41,0
1443.12,1443.12,1000,4.7,0
1489.87,1489.87,1000,3.35,0
885.11,885.11,1000,4.87,0
1495.73,1495.73,1000,3.4,0
744.57,744.57,1000,5.77,0
1382.82,1382.82,1000,3.45,0
1576.79,1576.79,1000,4.91,0
1396.68,1396.68,1000,3.52,0
532.8,532.8,1000,6.27,0
1465.98,1465.98,1000,3.48,0
1611.34,1611.34,1000,5.94,0
1556.33,1556.33,1000,2.64,0
855.64,855.64,1000,4.05,0
1679.24,1679.24,1000,3.13,0
1635.08,1635.08,1000,5.52,0
1618.41,1618.41,1000,3.02,0
1573.67,1573.67,1000,4.35,0
1607.54,1607.54,1000,3.17,0
981.84,981.84,1000,5.4,0
557.9,557.9,1000,3.09,0
1586.12,1586.12,1000,4.16,0
1530.78,1530.78,1000,2.63,0
1332.03,1332.03,1000,5.49,0
922.9,922.9,1000,2.75,0
1693.79,1693.79,1000,4.98,0
1000.04,1000.04,1000,2.71,0
1754.43,1754.43,1000,4.85,0
1737.91,1737.91,1000,2.69,0
1276.33,1276.33,1000,3.96,0
1760.81,1760.81,1000,2.73,0
1580.38,1580.38,1000,4.98,0
1608.3,1608.3,1000,2.68,0
949.7,949.7,1000,2.67,0
919.8,919.8,1000,3.66,0
1549.77,1549.77,1000,2.67,0
1684.89,1684.89,1000,3.77,0
1778.63,1778.63,1000,2.66,0
1431.16,1431.16,1000,4.02,0
1949.6,1949.6,1000,2.68,0
1719.45,1719.45,1000,4.67,0
998.53,998.53,1000,2.67,0
585.92,585.92,1000,4.94,0
1855.47,1855.47,1000,2.65,0
1125.52,1125.52,1000,3.78,0
1681.99,1681.99,1000,2.66,0
1218.5,1218.5,1000,3.87,0
1944.5,1944.5,1000,2.65,0
258.25,238.56,1000,3.78,1
1913.93,1913.93,1000,2.62,0
227.09,227.09,1000,3.98,0
1654.84,1654.84,1000,2.63,0
1753.42,1753.42,1000,5.95,0
1956.56,1956.56,1000,2.61,0
1980.36,1980.36,1000,6.72,0
1362.05,1362.05,1000,2.69,0
1601.02,1601.02,1000,3.74,0
1695.77,1695.77,1000,2.68,0
1547.38,1547.38,1000,4.75,0
1570.33,1570.33,1000,2.66,0
403.96,403.96,1000,3.8,0
504.51,504.51,1000,2.66,0
1733.34,1733.34,1000,4.04,0
1987.68,1987.68,1000,2.64,0
2114.83,2114.83,1000,3.82,0
1696.4,1696.4,1000,2.63,0
2130.22,2130.22,1000,9.24,0
1868.84,1868.84,1000,2.71,0
1916.45,1916.45,1000,5.44,0
2193.12,2193.12,1000,2.68,0
1791.42,1791.42,1000,3.9,0
2011.74,2011.74,1000,2.67,0
1873.05,1873.05,1000,3.9,0
2082.98,2082.98,1000,2.67,0
1846.27,1846.27,1000,4.94,0
1928.98,1928.98,1000,2.69,0
2136.03,2136.03,1000,2.63,0
1599.62,1599.62,1000,5.5,0
1531.93,1531.93,1000,2.62,0
2143.19,2143.19,1000,3.89,0
2112.74,2112.74,1000,2.64,0
1899.39,1899.39,1000,6.43,0
2012.29,2012.29,1000,2.62,0
1928.83,1928.83,1000,3.91,0
316.23,316.23,1000,2.65,0
2018.99,2018.99,1000,4.62,0
290.29,277.03,1000,2.63,1
2269.23,2269.23,1000,3.92,0
2249.59,2249.59,1000,2.64,0
1343.53,1343.53,1000,4.72,0
1980.59,1980.59,1000,3.47,0
1331.5,1331.5,1000,4.94,0
470.92,470.92,1000,3.37,0
1975.42,1975.42,1000,4.8,0
1685.36,1685.36,1000,3.65,0
2178.7,2178.7,1000,4.8,0
2146.29,2146.29,1000,3.49,0
2307.43,2307.43,1000,5.76,0
746.46,746.46,1000,3.52,0
512.89,512.89,1000,4.94,0
2114.26,2114.26,1000,3.45,0
2256.2,2256.2,1000,5.92,0
2355.81,2355.81,1000,3.51,0
2220.13,2220.13,1000,4.81,0
2225.62,2225.62,1000,3.43,0
1203.56,1203.56,1000,5.11,0
2105.35,2105.35,1000,3.19,0
2158.48,2158.48,1000,4.25,0
1492.42,1492.42,1000,2.98,0
2116.68,2116.68,1000,4.14,0
2091.17,2091.17,1000,2.97,0
933.12,933.12,1000,4.33,0
2218.29,2218.29,1000,3.02,0
1012.8,1012.8,1000,5.31,0
362.38,362.38,1000,2.94,0
2388.24,2388.24,1000,3.74,0
1960.87,1960.87,1000,2.97,0
2235.8,2235.8,1000,4.18,0
2522.3,2522.3,1000,2.78,0
2378.35,2378.35,1000,2.7,0
803.44,803.44,1000,5.16,0
939.76,939.76,1000,2.63,0
1285.37,1285.37,1000,3.98,0
2315.67,2315.67,1000,2.85,0
158.93,158.93,1000,4.02,0
169.72,169.72,1000,2.78,0
2305.5,2305.5,1000,3.98,0
2178.38,2178.38,1000,2.71,0
2073.25,2073.25,1000,3.85,0
2337.95,2337.95,1000,2.78,0
278.56,278.56,1000,3.85,0
2010.97,2010.97,1000,2.76,0
2481.82,2481.82,1000,5.11,0
2587.47,2587.47,1000,2.93,0
2269.65,2269.65,1000,5.44,0
861.22,861.22,1000,2.62,0
2009.21,2009.21,1000,4.06,0
2196.64,2196.64,1000,2.78,0
2247.58,2247.58,1000,3.85,0
2019.32,2019.32,1000,2.79,0
2303.86,2303.86,1000,3.81,0
1766.57,1766.57,1000,2.96,0
2128.02,2128.02,1000,3.84,0
1335.64,1335.64,1000,2.82,0
2305.3,2305.3,1000,3.74,0
809.31,809.31,1000,2.76,0
2048.78,2048.78,1000,3.99,0
2152.76,2152.76,1000,2.63,0
2000.2,2000.2,1000,4.0,0
2510.56,2510.56,1000,2.62,0
2072.86,2072.86,1000,3.99,0
2169.6,2169.6,1000,2.63,0
1457.31,1457.31,1000,4.75,0
1278.75,1278.75,1000,2.66,0
2285.61,2285.61,1000,5.03,0
2019.04,2019.04,1000,2.62,0
633.58,633.58,1000,3.97,0
1986.14,1986.14,1000,2.63,0
2401.35,2401.35,1000,3.73,0
2474.08,2474.08,1000,2.68,0
1559.92,1559.92,1000,4.95,0
2440.04,2440.04,1000,2.64,0
1378.16,1378.16,1000,2.64,0
2212.42,2212.42,1000,5.62,0
2370.97,2370.97,1000,2.66,0
2753.57,2753.57,1000,3.81,0
2521.59,2521.59,1000,2.65,0
2658.88,2658.88,1000,4.97,0
1477.61,1477.61,1000,2.92,0
2273.17,2273.17,1000,3.92,0
1371.84,1371.84,1000,2.64,0
2514.27,2514.27,1000,7.52,0
2458.5,2458.5,1000,2.73,0
2505.03,2505.03,1000,6.67,0
2439.02,2439.02,1000,2.69,0
1767.51,1767.51,1000,3.78,0
2622.89,2622.89,1000,2.69,0
2446.17,2446.17,1000,3.75,0
2137.7,2137.7,1000,8.77,0
2653.12,2653.12,1000,4.61,0
2473.68,2473.68,1000,2.6,0
2388.09,2388.09,1000,4.25,0
2688.17,2688.17,1000,3.58,0
2430.02,2430.02,1000,4.96,0
2653.41,2653.41,1000,3.4,0
2340.05,2340.05,1000,4.8,0
471.12,471.12,1000,3.3,0
-42.34,-42.34,1000,4.7,0
2416.45,2416.45,1000,3.21,0
2250.59,2250.59,1000,4.55,0
2553.06,2553.06,1000,3.29,0
2501.69,2501.69,1000,5.44,0
1464.55,1464.55,1000,3.2,0
2498.35,2498.35,1000,4.54,0
2730.08,2730.08,1000,3.33,0
2674.37,2674.37,1000,4.76,0
628.01,628.01,1000,3.43,0
2521.58,2521.58,1000,4.76,0
2492.11,2492.11,1000,3.05,0
2551.47,2551.47,1000,6.35,0
2102.94,2102.94,1000,3.02,0
1235.32,1235.32,1000,5.27,0
2554.33,2554.33,1000,2.99,0
2569.35,2569.35,1000,4.32,0
672.74,672.74,1000,2.97,0
2770.95,2770.95,1000,3.06,0
2476.0,2476.0,1000,4.28,0
1719.19,1719.19,1000,2.89,0
2842.62,2842.62,1000,3.82,0
2971.7,2971.7,1000,2.83,0
2523.62,2523.62,1000,4.31,0
2693.34,2693.34,1000,2.93,0
2879.52,2879.52,1000,4.85,0
2930.95,2930.95,1000,2.72,0
1812.54,1812.54,1000,3.7,0
2593.01,2593.01,1000,2.81,0
1148.33,1148.33,1000,3.81,0
1976.3,1976.3,1000,2.78,0
67.13,67.13,1000,3.88,0
1125.64,1125.64,1000,2.74,0
1432.97,1432.97,1000,3.91,0
1905.27,1905.27,1000,2.78,0
1655.83,1655.83,1000,4.01,0
574.81,574.81,1000,2.72,0
57.8,57.8,1000,3.84,0
1586.79,1586.79,1000,2.68,0
1974.65,1974.65,1000,3.85,0
2418.29,2418.29,1000,2.67,0
1146.36,1146.36,1000,3.96,0
2969.39,2969.39,1000,2.66,0
2143.38,2143.38,1000,3.8,0
2558.08,2558.08,1000,2.8,0
227.86,227.86,1000,3.87,0
1515.15,1515.15,1000,2.83,0
2817.0,2817.0,1000,3.82,0
1281.43,1281.43,1000,2.79,0
935.74,935.74,1000,3.96,0
3052.65,3052.65,1000,2.67,0
757.61,757.61,1000,5.01,0
2921.75,2921.75,1000,2.69,0
1628.05,1628.05,1000,3.83,0
965.14,965.14,1000,2.72,0
2656.62,2656.62,1000,3.92,0
2299.25,2299.25,1000,2.88,0
2626.7,2626.7,1000,3.94,0
1135.55,1135.55,1000,2.67,0
2770.83,2770.83,1000,3.85,0
1296.45,1296.45,1000,2.67,0
2478.57,2478.57,1000,2.69,0
2840.66,2840.66,1000,3.92,0
2880.79,2880.79,1000,2.7,0
1462.98,1462.98,1000,4.03,0
720.04,720.04,1000,2.68,0
2460.77,2460.77,1000,3.85,0
2680.86,2680.86,1000,2.67,0
1020.71,1020.71,1000,4.71,0
2619.83,2619.83,1000,2.65,0
162.8,162.8,1000,4.0,0
1068.83,1068.83,1000,2.71,0
2629.96,2629.96,1000,4.0,0
3030.39,3030.39,1000,2.65,0
2804.27,2804.27,1000,3.77,0
2962.54,2962.54,1000,2.67,0
1331.59,1331.59,1000,4.22,0
892.49,892.49,1000,2.69,0
2554.57,2554.57,1000,3.76,0
2793.07,2793.07,1000,2.7,0
1956.1,1956.1,1000,4.02,0
2419.43,2419.43,1000,2.88,0
635.0,635.0,1000,4.9,0
1747.23,1747.23,1000,2.78,0
1235.75,1235.75,1000,4.01,0
2303.58,2303.58,1000,2.84,0
2709.99,2709.99,1000,3.67,0
-55.52,-55.52,1000,2.77,0
1810.36,1810.36,1000,3.79,0
2918.39,2918.39,1000,2.66,0
-111.01,-111.01,1000,3.76,0
2295.51,2295.51,1000,2.65,0
1470.9,1470.9,1000,3.85,0
2494.31,2494.31,1000,3.17,0
2973.21,2973.21,1000,4.78,0
1875.99,1875.99,1000,3.45,0
521.28,521.28,1000,4.55,0
2662.74,2662.74,1000,3.4,0
2706.28,2706.28,1000,4.77,0
1626.99,1626.99,1000,3.43,0
1228.81,1228.81,1000,5.14,0
3199.07,3199.07,1000,3.5,0
3174.82,3174.82,1000,3.5,0
2930.63,2930.63,1000,4.8,0
1498.23,1498.23,1000,3.48,0
2948.43,2948.43,1000,4.89,0
1342.0,1342.0,1000,3.41,0
2854.66,2854.66,1000,5.97,0
643.79,643.79,1000,3.48,0
1485.43,1485.43,1000,4.68,0
3047.77,3047.77,1000,2.67,0
2820.03,2820.03,1000,4.34,0
3069.96,3069.96,1000,3.11,0
1681.49,1681.49,1000,4.4,0
3005.64,3005.64,1000,3.03,0
3088.43,3088.43,1000,4.27,0
334.07,334.07,1000,3.03,0
2866.24,2866.24,1000,4.31,0
2976.46,2976.46,1000,3.01,0
177.4,177.4,1000,4.2,0
2988.21,2988.21,1000,2.75,0
2987.38,2987.38,1000,4.28,0
2255.21,2255.21,1000,3.04,0
3203.94,3203.94,1000,4.77,0
3319.57,3319.57,1000,2.71,0
2532.85,2532.85,1000,4.03,0
3200.96,3200.96,1000,2.69,0
3261.79,3261.79,1000,3.87,0
2768.56,2768.56,1000,2.68,0
2761.05,2761.05,1000,3.86,0
2931.75,2931.75,1000,2.88,0
3109.23,3109.23,1000,3.89,0
3317.15,3317.15,1000,2.68,0
449.73,449.73,1000,3.69,0
2771.32,2771.32,1000,2.74,0
1139.2,1139.2,1000,3.91,0
2865.69,2865.69,1000,2.71,0
2783.53,2783.53,1000,3.84,0
3245.15,3245.15,1000,2.7,0
3197.39,3197.39,1000,3.9,0
761.19,761.19,1000,2.74,0
2952.39,2952.39,1000,3.83,0
1564.5,1564.5,1000,2.67,0
2905.0,2905.0,1000,3.89,0
3185.31,3185.31,1000,2.67,0
3228.87,3228.87,1000,2.67,0
2283.89,2283.89,1000,4.63,0
3113.78,3113.78,1000,2.73,0
-35.74,-35.74,1000,3.91,0
2064.9,2064.9,1000,2.78,0
2976.18,2976.18,1000,3.98,0
2976.78,2976.78,1000,2.76,0
429.01,429.01,1000,3.87,0
-72.44,-72.44,1000,2.63,0
2850.47,2850.47,1000,3.95,0
1933.31,1933.31,1000,2.64,0
2864.19,2864.19,1000,3.93,0
2852.14,2852.14,1000,2.77,0
3151.36,3151.36,1000,3.86,0
3161.77,3161.77,1000,2.68,0
1119.75,1119.75,1000,3.8,0
3312.75,3312.75,1000,2.73,0
2768.77,2768.77,1000,3.87,0
3198.79,3198.79,1000,2.69,0
3373.0,3373.0,1000,4.97,0
1797.47,1797.47,1000,2.68,0
3337.61,3337.61,1000,4.19,0
933.2,933.2,1000,2.7,0
3251.4,3251.4,1000,3.74,0
2178.18,2178.18,1000,2.65,0
908.32,908.32,1000,3.72,0
1942.72,1942.72,1000,2.68,0
2804.06,2804.06,1000,3.76,0
1434.1,1434.1,1000,2.64,0
3168.58,3168.58,1000,6.5,0
3269.63,3269.63,1000,2.68,0
2298.12,2298.12,1000,3.75,0
3385.57,3385.57,1000,2.66,0
3140.57,3140.57,1000,3.89,0
1949.55,1949.55,1000,2.67,0
3352.18,3352.18,1000,3.89,0
2436.05,2436.05,1000,2.65,0
648.88,648.88,1000,4.98,0
1498.05,1498.05,1000,2.69,0
2903.51,2903.51,1000,3.92,0
2938.52,2938.52,1000,2.68,0
979.58,979.58,1000,3.78,0
2976.32,2976.32,1000,2.62,0
1274.28,1274.28,1000,2.62,0
3194.4,3194.4,1000,3.81,0
3275.54,3275.54,1000,2.63,0
1152.73,1152.73,1000,9.95,0
2962.73,2962.73,1000,3.44,0
3299.33,3299.33,1000,6.2,0
3412.54,3412.54,1000,3.53,0
3234.47,3234.47,1000,4.88,0
1726.19,1726.19,1000,3.53,0
1538.02,1538.02,1000,4.86,0
2818.26,2818.26,1000,3.42,0
3174.55,3174.55,1000,4.86,0
3042.53,3042.53,1000,3.45,0
3161.03,3161.03,1000,4.83,0
1159.61,1159.61,1000,3.45,0
3388.4,3388.4,1000,7.89,0
2892.59,2892.59,1000,3.33,0
3146.6,3146.6,1000,4.98,0
3240.76,3240.76,1000,2.73,0
1529.91,1529.91,1000,4.37,0
1702.6,1702.6,1000,3.12,0
3554.66,3554.66,1000,4.3,0
3322.91,3322.91,1000,2.94,0
3284.85,3284.85,1000,4.3,0
2521.12,2521.12,1000,3.17,0
104.26,104.26,1000,5.35,0
2840.24,2840.24,1000,3.19,0
3198.64,3198.64,1000,4.12,0
2568.23,2568.23,1000,2.73,0
3395.21,3395.21,1000,4.63,0
2140.82,2140.82,1000,3.15,0
1700.12,1700.12,1000,3.94,0
3719.15,3719.15,1000,2.75,0
1724.55,1724.55,1000,4.19,0
1947.61,1947.61,1000,2.76,0
420.76,420.76,1000,3.85,0
3773.35,3773.35,1000,2.69,0
2904.16,2904.16,1000,4.0,0
3844.19,3844.19,1000,2.73,0
1904.46,1904.46,1000,3.98,0
3720.54,3720.54,1000,2.72,0
2362.39,2362.39,1000,4.2,0
2090.81,2090.81,1000,2.76,0
3774.43,3774.43,1000,2.69,0
3138.38,3138.38,1000,3.95,0
3083.42,3083.42,1000,2.65,0
3460.26,3460.26,1000,3.87,0
3381.56,3381.56,1000,2.63,0
1117.6,1117.6,1000,4.79,0
1057.61,1057.61,1000,2.62,0
3621.54,3621.54,1000,3.8,0
849.72,849.72,1000,2.68,0
205.54,205.54,1000,3.79,0
1106.54,1106.54,1000,2.66,0
1280.58,1280.58,1000,3.94,0
3552.36,3552.36,1000,2.71,0
3411.3,3411.3,1000,3.96,0
1740.39,1740.39,1000,2.64,0
906.42,906.42,1000,3.92,0
3519.91,3519.91,1000,2.66,0
3598.01,3598.01,1000,4.92,0
3471.13,3471.13,1000,2.69,0
3588.86,3588.86,1000,3.87,0
757.55,757.55,1000,2.74,0
1564.6,1564.6,1000,3.76,0
3816.12,3816.12,1000,2.68,0
3712.32,3712.32,1000,4.14,0
276.43,276.43,1000,2.67,0
3029.84,3029.84,1000,3.75,0
3075.11,3075.11,1000,2.63,0
1934.57,1934.57,1000,3.8,0
2858.42,2858.42,1000,2.65,0
3461.16,3461.16,1000,3.89,0
3752.63,3752.63,1000,2.65,0
484.27,484.27,1000,3.81,0
3679.82,3679.82,1000,2.74,0
3234.18,3234.18,1000,3.89,0
3116.82,3116.82,1000,2.7,0
2943.31,2943.31,1000,3.88,0
311.09,311.09,1000,2.79,0
2222.11,2222.11,1000,4.69,0
3604.22,3604.22,1000,2.7,0
