#{"t_start": 1650657902.2376735, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
229.53,229.53,1000,3.68,0
215.27,215.27,1000,3.67,0
274.09,274.09,1000,16.1,0
261.16,261.16,1000,3.69,0
454.14,47.77,1000,19.07,1
317.59,317.59,1000,3.68,0
307.93,307.93,1000,18.73,0
410.98,410.98,1000,3.64,0
335.69,241.62,1000,20.47,1
329.7,217.08,1000,3.66,1
428.55,428.55,1000,18.33,0
378.52,239.62,1000,3.63,1
415.86,415.86,1000,16.63,0
399.3,125.52,1000,3.63,1
498.34,382.34,1000,18.94,1
490.12,293.28,1000,3.63,1
552.0,310.51,1000,16.48,1
589.8,117.3,1000,3.63,1
559.01,450.95,1000,16.55,1
601.34,331.19,1000,3.62,1
671.04,103.35,1000,16.85,1
673.67,86.52,1000,3.65,1
658.13,108.12,1000,16.41,1
676.28,161.51,1000,3.62,1
694.68,531.43,1000,16.47,1
679.84,59.64,1000,3.63,1
769.14,286.59,1000,19.35,1
738.16,149.25,1000,3.62,1
804.29,360.5,1000,20.17,1
795.02,189.57,1000,3.63,1
732.86,83.59,1000,18.74,1
842.69,604.21,1000,3.61,1
843.22,538.7,1000,19.63,1
845.54,86.63,1000,3.63,1
805.02,90.65,1000,16.38,1
910.58,328.58,1000,3.6,1
863.78,59.02,1000,16.47,1
953.26,119.23,1000,3.61,1
893.19,101.64,1000,16.23,1
926.2,125.18,1000,3.63,1
999.07,0,1000,3.66,1
944.96,87.23,1000,3.67,1
927.34,214.91,1000,6.25,1
907.04,431.59,1000,3.63,1
986.7,65.28,1000,6.27,1
938.34,59.78,1000,3.63,1
977.32,153.13,1000,8.8,1
995.38,120.92,1000,3.64,1
1008.75,492.48,1000,17.54,1
1050.6,120.64,1000,3.64,1
1053.45,894.06,1000,12.59,1
998.34,246.15,1000,3.64,1
947.93,947.93,1000,10.19,0
1019.89,659.18,1000,3.73,1
1004.17,53.15,1000,12.48,1
1106.79,574.43,1000,3.64,1
1085.47,68.4,1000,10.36,1
923.62,923.62,1000,3.64,0
1150.81,368.83,1000,8.21,1
1080.71,379.32,1000,3.65,1
1126.7,351.67,1000,6.3,1
1117.5,1117.5,1000,3.64,0
1118.38,340.48,1000,10.08,1
1147.61,311.23,1000,3.63,1
1245.75,175.32,1000,15.63,1
1175.57,273.84,1000,3.66,1
1184.51,464.64,1000,8.9,1
1180.11,142.85,1000,3.64,1
1048.14,64.95,1000,11.23,1
1210.52,322.96,1000,3.65,1
1123.42,274.52,1000,9.91,1
1059.65,139.37,1000,3.6,1
1125.02,67.93,1000,8.67,1
1143.45,116.7,1000,3.6,1
994.93,228.52,1000,8.74,1
1077.65,181.78,1000,3.64,1
1076.01,1076.01,1000,7.74,0
1170.24,520.6,1000,3.61,1
1154.51,228.12,1000,8.91,1
1155.07,1155.07,1000,3.59,0
1281.95,0,1000,3.65,1
1256.84,535.79,1000,3.66,1
1098.88,276.41,1000,8.98,1
1233.12,126.45,1000,3.65,1
1334.91,56.67,1000,6.99,1
1121.6,1121.6,1000,3.66,0
1128.07,1128.07,1000,7.53,0
1208.98,566.62,1000,3.64,1
1250.03,779.68,1000,7.15,1
1168.66,1016.81,1000,3.65,1
1159.13,382.04,1000,7.52,1
1130.29,698.98,1000,3.64,1
1302.9,100.22,1000,7.5,1
1212.04,357.31,1000,3.61,1
1097.94,345.19,1000,6.24,1
1165.02,689.22,1000,3.61,1
1229.56,135.63,1000,7.14,1
1179.64,1179.64,1000,3.61,0
1074.42,810.96,1000,8.93,1
1110.64,1110.64,1000,3.63,0
1100.24,368.85,1000,6.13,1
1076.0,262.77,1000,3.61,1
1254.76,1063.99,1000,7.09,1
1152.5,1152.5,1000,3.64,0
1201.57,143.85,1000,7.13,1
1389.15,169.1,1000,3.6,1
1143.36,1143.36,1000,6.25,0
1172.06,1172.06,1000,3.65,0
1236.51,1236.51,1000,7.14,0
1165.96,231.42,1000,3.65,1
1239.03,1239.03,1000,6.8,0
1174.34,1174.34,1000,3.66,0
1150.89,1150.89,1000,6.72,0
1212.22,1212.22,1000,3.64,0
1230.52,1230.52,1000,8.21,0
1133.05,1133.05,1000,3.65,0
1199.35,1199.35,1000,7.16,0
1150.78,1150.78,1000,3.65,0
1170.44,1170.44,1000,6.71,0
1278.77,1278.77,1000,3.69,0
1249.0,1249.0,1000,3.61,0
1186.91,1186.91,1000,3.64,0
1227.28,1227.28,1000,6.72,0
1202.01,97.23,1000,3.68,1
1108.26,1108.26,1000,6.66,0
1229.62,1229.62,1000,3.61,0
1295.8,1295.8,1000,5.16,0
1159.88,1159.88,1000,3.64,0
1066.42,1036.6,1000,6.68,1
1294.54,1294.54,1000,3.63,0
1111.6,1111.6,1000,6.12,0
1281.36,1281.36,1000,3.61,0
1249.8,1249.8,1000,7.06,0
1333.14,1333.14,1000,3.66,0
1268.36,1268.36,1000,6.23,0
1251.04,1251.04,1000,3.64,0
1292.81,1292.81,1000,6.23,0
1396.5,1396.5,1000,3.75,0
1365.48,1365.48,1000,6.69,0
1306.32,1306.32,1000,3.66,0
1276.68,1276.68,1000,6.12,0
1536.83,1536.83,1000,3.64,0
1196.07,1196.07,1000,8.17,0
1285.47,1285.47,1000,3.65,0
1308.67,1308.67,1000,6.13,0
1207.97,1207.97,1000,3.63,0
1308.1,1308.1,1000,6.7,0
1229.79,1229.79,1000,3.65,0
1284.86,1284.86,1000,6.11,0
1373.62,1373.62,1000,3.64,0
1147.43,1147.43,1000,6.65,0
1170.29,1170.29,1000,3.65,0
1292.18,1292.18,1000,6.71,0
1134.15,1134.15,1000,3.59,0
1358.86,1358.86,1000,7.08,0
1379.09,1379.09,1000,3.64,0
1360.38,1360.38,1000,7.55,0
1432.94,1432.94,1000,3.63,0
1363.7,1363.7,1000,6.68,0
1416.17,1416.17,1000,3.67,0
1182.28,1182.28,1000,3.67,0
1235.58,1235.58,1000,3.66,0
1375.44,1375.44,1000,5.55,0
1450.51,1450.51,1000,3.64,0
1258.0,1258.0,1000,6.27,0
1516.53,1516.53,1000,3.67,0
1375.47,1375.47,1000,6.72,0
1307.47,1307.47,1000,3.66,0
1263.54,95.59,1000,6.74,1
1368.3,1368.3,1000,3.66,0
1452.41,1452.41,1000,5.2,0
1118.92,1118.92,1000,3.65,0
1273.6,1273.6,1000,6.21,0
1557.54,1557.54,1000,3.66,0
1314.79,1314.79,1000,8.89,0
1461.23,1461.23,1000,3.66,0
1337.55,1337.55,1000,6.18,0
1285.97,1285.97,1000,3.64,0
1408.8,1408.8,1000,5.22,0
1629.7,1629.7,1000,3.61,0
1571.96,1571.96,1000,6.67,0
1362.76,1362.76,1000,3.61,0
1427.48,1427.48,1000,7.52,0
1490.76,1490.76,1000,3.61,0
1693.18,1693.18,1000,7.13,0
1639.2,1639.2,1000,3.65,0
1577.33,1577.33,1000,6.25,0
1536.68,1536.68,1000,3.68,0
1381.66,1381.66,1000,7.13,0
1474.39,1474.39,1000,3.64,0
1452.67,1452.67,1000,6.24,0
1623.36,1623.36,1000,3.64,0
1397.47,1397.47,1000,6.29,0
1120.0,1120.0,1000,3.66,0
1260.44,1260.44,1000,6.17,0
1471.25,1471.25,1000,3.66,0
1539.98,1539.98,1000,6.7,0
1310.47,1310.47,1000,3.66,0
1678.85,1678.85,1000,6.13,0
1392.36,1392.36,1000,3.66,0
