#{"t_start": 1650542759.5607138, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
269.25,269.25,1000,3.14,0
199.11,199.11,1000,3.1,0
287.13,58.01,1000,17.54,1
266.52,48.19,1000,3.11,1
374.53,374.53,1000,16.55,0
299.27,299.27,1000,2.9,0
373.8,63.25,1000,17.44,1
316.37,46.9,1000,3.07,1
330.59,330.59,1000,17.17,0
409.52,180.28,1000,3.08,1
377.82,377.82,1000,17.41,0
430.74,205.84,1000,3.18,1
410.18,186.35,1000,16.93,1
475.08,440.91,1000,2.85,1
468.66,360.21,1000,16.18,1
490.99,490.99,1000,2.91,0
507.41,149.01,1000,16.79,1
462.88,58.16,1000,2.84,1
508.92,225.87,1000,16.28,1
600.7,59.13,1000,2.85,1
564.6,406.43,1000,16.5,1
619.29,90.68,1000,2.98,1
616.81,76.41,1000,16.67,1
609.64,49.51,1000,3.03,1
678.64,607.89,1000,16.49,1
681.85,302.16,1000,2.91,1
666.5,189.3,1000,15.99,1
733.98,149.17,1000,2.98,1
725.77,725.77,1000,16.63,0
740.51,336.05,1000,3.02,1
756.46,163.12,1000,16.45,1
853.12,96.62,1000,2.95,1
839.38,236.14,1000,16.31,1
778.86,778.86,1000,2.81,0
861.64,140.33,1000,16.57,1
798.69,798.69,1000,3.06,0
933.4,650.83,1000,16.62,1
850.28,223.1,1000,3.24,1
816.64,816.64,1000,17.51,0
881.59,152.18,1000,3.13,1
954.55,0,1000,2.85,1
999.86,379.68,1000,2.83,1
916.42,249.63,1000,14.07,1
937.76,155.71,1000,2.81,1
938.63,407.39,1000,16.29,1
868.36,325.02,1000,3.09,1
966.52,241.91,1000,17.03,1
965.6,118.97,1000,3.01,1
942.43,380.74,1000,7.08,1
1002.08,1002.08,1000,2.84,0
1002.86,124.29,1000,16.47,1
978.25,100.99,1000,3.19,1
995.4,315.65,1000,12.26,1
940.83,940.83,1000,2.85,0
993.87,993.87,1000,15.74,0
991.69,991.69,1000,2.95,0
1026.49,80.42,1000,9.55,1
950.46,94.07,1000,2.85,1
1087.35,1087.35,1000,14.18,0
1094.89,311.02,1000,2.93,1
998.95,77.02,1000,16.55,1
1051.61,197.93,1000,2.87,1
991.88,172.29,1000,9.43,1
1137.63,784.94,1000,2.9,1
1038.96,78.12,1000,13.9,1
1074.14,703.35,1000,2.95,1
1005.04,1005.04,1000,10.12,0
1048.68,87.21,1000,2.88,1
1134.66,127.86,1000,11.35,1
1075.04,476.8,1000,3.13,1
1045.04,124.3,1000,10.13,1
1119.76,1119.76,1000,3.17,0
1154.03,160.93,1000,7.28,1
1067.39,581.72,1000,3.17,1
