#{"t_start": 1650531610.3395228, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
934.89,627.33,1000,1.16,1
923.64,923.64,1000,1.16,0
957.26,370.81,1000,1.16,1
890.37,239.52,1000,1.16,1
880.89,66.59,1000,1.16,1
937.77,937.77,1000,1.16,0
990.02,121.85,1000,1.16,1
1030.45,330.34,1000,1.16,1
993.14,724.82,1000,1.16,1
948.85,146.13,1000,1.16,1
1037.69,1037.69,1000,1.17,0
1192.61,642.3,1000,1.17,1
1137.38,472.48,1000,1.17,1
1066.8,1066.8,1000,1.17,0
1090.73,126.58,1000,1.17,1
1139.0,510.01,1000,1.17,1
1083.23,586.16,1000,1.17,1
1135.3,284.8,1000,1.17,1
1187.42,1187.42,1000,1.17,0
1116.35,524.21,1000,1.17,1
1181.39,1169.61,1000,1.16,1
1250.61,1250.61,1000,1.17,0
1227.34,1227.34,1000,1.17,0
1052.84,74.21,1000,1.16,1
1182.09,803.95,1000,1.17,1
1258.99,1258.99,1000,1.17,0
1281.86,1281.86,1000,1.17,0
1267.72,1267.72,1000,1.17,0
1082.97,1082.97,1000,1.17,0
1202.04,1202.04,1000,1.17,0
1105.88,653.99,1000,1.17,1
1389.73,1389.73,1000,1.17,0
1495.38,1495.38,1000,1.17,0
1296.0,1296.0,1000,1.17,0
1616.11,1616.11,1000,1.17,0
1485.11,1485.11,1000,1.17,0
1795.52,1795.52,1000,1.17,0
1735.47,1735.47,1000,1.17,0
1730.2,1730.2,1000,1.17,0
1635.56,1635.56,1000,1.17,0
1615.0,1615.0,1000,1.17,0
1830.0,1830.0,1000,1.17,0
1740.15,1740.15,1000,1.16,0
1643.55,1643.55,1000,1.17,0
1364.62,1364.62,1000,1.16,0
1652.24,1652.24,1000,1.16,0
1503.42,1503.42,1000,1.16,0
1434.27,1434.27,1000,1.16,0
1648.93,1648.93,1000,1.16,0
1435.66,1435.66,1000,1.16,0
1752.0,1752.0,1000,1.18,0
1570.33,1570.33,1000,1.18,0
2019.89,2019.89,1000,1.18,0
1711.07,1711.07,1000,1.18,0
2032.66,2032.66,1000,1.17,0
2232.9,2232.9,1000,1.18,0
1934.23,1934.23,1000,1.17,0
2146.92,2146.92,1000,1.17,0
1701.08,1701.08,1000,1.17,0
2047.17,2047.17,1000,1.17,0
1702.25,1702.25,1000,1.16,0
1973.23,1973.23,1000,1.16,0
2327.11,2327.11,1000,1.16,0
2144.73,2144.73,1000,1.16,0
2041.34,2041.34,1000,1.16,0
2172.16,2172.16,1000,1.16,0
2072.2,2072.2,1000,1.16,0
1693.3,1693.3,1000,1.17,0
1846.44,1846.44,1000,1.17,0
1653.41,1653.41,1000,1.16,0
2031.03,2031.03,1000,1.17,0
2431.62,2431.62,1000,1.17,0
2067.56,2067.56,1000,1.17,0
2237.05,2237.05,1000,1.17,0
2379.16,2379.16,1000,1.17,0
2505.22,2505.22,1000,1.17,0
2273.96,2273.96,1000,1.17,0
1998.11,1998.11,1000,1.17,0
2470.88,2470.88,1000,1.17,0
2183.46,2183.46,1000,1.17,0
2500.2,2500.2,1000,1.18,0
2358.32,2358.32,1000,1.18,0
2750.75,2750.75,1000,1.18,0
2698.09,2698.09,1000,1.18,0
2835.33,2835.33,1000,1.18,0
2704.78,2704.78,1000,1.18,0
2774.17,2774.17,1000,1.18,0
2903.76,2903.76,1000,1.18,0
2791.59,2791.59,1000,1.19,0
2755.07,2755.07,1000,1.18,0
3141.8,3141.8,1000,1.18,0
2581.39,2581.39,1000,1.18,0
3139.33,3139.33,1000,1.18,0
2927.24,2927.24,1000,1.18,0
3121.12,3121.12,1000,1.18,0
3051.73,3051.73,1000,1.18,0
3094.78,3094.78,1000,1.18,0
