#{"t_start": 1650556349.4636211, "env_id": "HCWithPos-v0"}
reward,reward_nc,len,time,constraint
300.33,300.33,1000,3.56,0
272.75,272.75,1000,3.54,0
274.53,274.53,1000,15.3,0
227.0,227.0,1000,3.45,0
267.37,150.85,1000,14.68,1
298.66,298.66,1000,3.44,0
399.04,83.47,1000,15.93,1
372.35,59.66,1000,3.45,1
360.18,158.24,1000,14.59,1
358.87,264.62,1000,3.44,1
421.08,43.73,1000,14.6,1
418.26,363.9,1000,3.44,1
415.4,415.4,1000,14.71,0
458.39,51.55,1000,3.46,1
515.72,108.73,1000,15.57,1
471.5,59.05,1000,3.45,1
513.43,412.87,1000,15.56,1
594.32,493.23,1000,3.42,1
575.81,538.23,1000,14.6,1
591.88,302.76,1000,3.44,1
685.99,342.36,1000,14.58,1
628.05,94.37,1000,3.41,1
660.08,218.09,1000,14.58,1
735.05,74.7,1000,3.48,1
678.19,678.19,1000,15.69,0
696.92,147.55,1000,3.42,1
667.11,667.11,1000,13.44,0
767.55,64.97,1000,3.43,1
779.89,64.55,1000,14.54,1
853.56,87.17,1000,3.43,1
811.8,54.58,1000,12.32,1
780.14,297.11,1000,3.43,1
766.54,766.54,1000,14.56,0
837.15,392.8,1000,3.45,1
764.66,764.66,1000,15.41,0
856.06,387.32,1000,3.47,1
836.38,195.84,1000,12.0,1
918.33,885.74,1000,3.43,1
904.43,861.64,1000,15.4,1
909.91,136.85,1000,3.43,1
915.19,0,1000,3.44,1
822.76,273.4,1000,3.44,1
965.75,448.35,1000,6.82,1
926.48,926.48,1000,3.43,0
940.05,104.53,1000,8.06,1
936.12,859.95,1000,3.45,1
970.16,88.54,1000,7.93,1
1019.89,252.01,1000,3.45,1
880.16,142.14,1000,11.3,1
1087.11,252.72,1000,3.44,1
853.11,853.11,1000,12.86,0
987.41,89.64,1000,3.42,1
964.69,251.15,1000,7.94,1
929.11,808.59,1000,3.44,1
971.88,446.67,1000,10.87,1
984.75,81.49,1000,3.43,1
972.26,105.74,1000,7.92,1
1051.94,341.66,1000,3.42,1
1105.95,327.03,1000,10.91,1
999.98,554.69,1000,3.45,1
1004.7,745.78,1000,12.13,1
996.21,593.85,1000,3.45,1
1094.39,442.89,1000,7.97,1
1021.73,123.24,1000,3.44,1
976.53,99.24,1000,6.83,1
988.91,476.44,1000,3.46,1
951.57,951.57,1000,7.94,0
985.05,190.85,1000,3.46,1
1049.57,195.63,1000,7.97,1
1025.24,61.09,1000,3.46,1
1127.12,1127.12,1000,6.87,0
1052.49,130.01,1000,3.46,1
1015.07,108.7,1000,5.78,1
1066.77,162.39,1000,3.45,1
1066.48,1066.48,1000,7.12,0
1043.82,309.18,1000,3.45,1
1040.45,1040.45,1000,5.74,0
1013.74,1013.74,1000,3.45,0
1046.88,594.16,1000,7.94,1
1017.54,1017.54,1000,3.45,0
1017.06,1017.06,1000,3.44,0
1099.98,323.91,1000,3.44,1
1099.68,101.11,1000,5.73,1
1014.22,1014.22,1000,3.45,0
1099.14,1099.14,1000,5.87,0
963.33,70.23,1000,3.45,1
1108.63,332.54,1000,5.79,1
1017.54,1017.54,1000,3.44,0
1050.1,446.57,1000,5.73,1
1004.6,1004.6,1000,3.46,0
1048.66,957.03,1000,5.73,1
1030.49,162.09,1000,3.44,1
1062.0,1062.0,1000,6.04,0
1050.13,1050.13,1000,3.47,0
1137.03,224.99,1000,5.9,1
1114.43,1114.43,1000,3.44,0
1090.6,1090.6,1000,6.87,0
1119.02,1119.02,1000,3.46,0
1081.58,604.01,1000,5.71,1
1153.55,1153.55,1000,3.43,0
1049.4,1049.4,1000,5.71,0
982.24,148.23,1000,3.47,1
1062.89,1062.89,1000,5.72,0
1091.64,357.48,1000,3.46,1
1267.47,1267.47,1000,6.03,0
1129.34,1129.34,1000,3.44,0
1114.04,1114.04,1000,4.6,0
1003.88,1003.88,1000,3.45,0
1062.03,1062.03,1000,5.7,0
1087.13,1087.13,1000,3.46,0
1145.21,771.17,1000,5.71,1
1086.1,1086.1,1000,3.44,0
1065.22,1065.22,1000,6.03,0
1111.58,727.77,1000,3.45,1
1093.94,1003.85,1000,5.72,1
1086.16,269.37,1000,3.44,1
1231.23,1231.23,1000,5.72,0
1294.24,1294.24,1000,3.44,0
1202.42,1202.42,1000,5.87,0
1265.67,1265.67,1000,3.45,0
1181.0,1181.0,1000,3.45,0
1217.77,1217.77,1000,3.45,0
1295.94,1295.94,1000,4.62,0
1255.83,1255.83,1000,3.45,0
1213.59,1213.59,1000,4.61,0
1179.47,1179.47,1000,3.45,0
1238.71,248.22,1000,5.87,1
1401.55,1401.55,1000,3.45,0
1320.88,1320.88,1000,5.88,0
1123.6,1123.6,1000,3.44,0
1417.4,1417.4,1000,5.88,0
1188.45,1188.45,1000,3.46,0
1278.42,1278.42,1000,6.01,0
1170.38,622.02,1000,3.44,1
1202.39,1202.39,1000,4.62,0
1231.36,1231.36,1000,3.45,0
1317.5,1317.5,1000,4.61,0
1281.54,1281.54,1000,3.45,0
1307.29,1307.29,1000,4.61,0
1279.41,1279.41,1000,3.43,0
1016.7,1016.7,1000,5.85,0
1164.14,1164.14,1000,3.44,0
1459.43,1459.43,1000,5.71,0
1378.78,1378.78,1000,3.43,0
